"Probabilidad" "Maximos" "Porcentajes"
"1" 0 20 40
"2" 0 31 62
"3" 0 33 66
"4" 0 22 44
"5" 0 15 30
"6" 0 4 8
"7" 0 32 64
"8" 0 0 0
"9" 0 27 54
"10" 0 29 58
"11" 0 27 54
"12" 0 33 66
"13" 0 28 56
"14" 0 0 0
"15" 0 31 62
"16" 0 36 72
"17" 0 32 64
"18" 0 27 54
"19" 0 30 60
"20" 0 35 70
"21" 0.1 16 32
"22" 0.1 18 36
"23" 0.1 26 52
"24" 0.1 0 0
"25" 0.1 0 0
"26" 0.1 31 62
"27" 0.1 29 58
"28" 0.1 21 42
"29" 0.1 27 54
"30" 0.1 33 66
"31" 0.1 15 30
"32" 0.1 23 46
"33" 0.1 14 28
"34" 0.1 32 64
"35" 0.1 20 40
"36" 0.1 0 0
"37" 0.1 23 46
"38" 0.1 1 2
"39" 0.1 34 68
"40" 0.1 18 36
"41" 0.2 26 52
"42" 0.2 26 52
"43" 0.2 1 2
"44" 0.2 26 52
"45" 0.2 10 20
"46" 0.2 22 44
"47" 0.2 15 30
"48" 0.2 4 8
"49" 0.2 1 2
"50" 0.2 18 36
"51" 0.2 25 50
"52" 0.2 27 54
"53" 0.2 33 66
"54" 0.2 3 6
"55" 0.2 10 20
"56" 0.2 18 36
"57" 0.2 19 38
"58" 0.2 3 6
"59" 0.2 21 42
"60" 0.2 24 48
"61" 0.3 1 2
"62" 0.3 2 4
"63" 0.3 3 6
"64" 0.3 18 36
"65" 0.3 13 26
"66" 0.3 25 50
"67" 0.3 17 34
"68" 0.3 11 22
"69" 0.3 19 38
"70" 0.3 15 30
"71" 0.3 26 52
"72" 0.3 9 18
"73" 0.3 0 0
"74" 0.3 1 2
"75" 0.3 7 14
"76" 0.3 11 22
"77" 0.3 5 10
"78" 0.3 11 22
"79" 0.3 8 16
"80" 0.3 11 22
"81" 0.4 13 26
"82" 0.4 12 24
"83" 0.4 5 10
"84" 0.4 2 4
"85" 0.4 10 20
"86" 0.4 1 2
"87" 0.4 3 6
"88" 0.4 11 22
"89" 0.4 13 26
"90" 0.4 10 20
"91" 0.4 6 12
"92" 0.4 1 2
"93" 0.4 0 0
"94" 0.4 1 2
"95" 0.4 6 12
"96" 0.4 0 0
"97" 0.4 14 28
"98" 0.4 2 4
"99" 0.4 0 0
"100" 0.4 7 14
"101" 0.5 0 0
"102" 0.5 20 40
"103" 0.5 12 24
"104" 0.5 1 2
"105" 0.5 0 0
"106" 0.5 5 10
"107" 0.5 6 12
"108" 0.5 12 24
"109" 0.5 9 18
"110" 0.5 6 12
"111" 0.5 9 18
"112" 0.5 10 20
"113" 0.5 0 0
"114" 0.5 6 12
"115" 0.5 6 12
"116" 0.5 0 0
"117" 0.5 15 30
"118" 0.5 0 0
"119" 0.5 2 4
"120" 0.5 11 22
"121" 0.6 10 20
"122" 0.6 4 8
"123" 0.6 8 16
"124" 0.6 5 10
"125" 0.6 5 10
"126" 0.6 0 0
"127" 0.6 2 4
"128" 0.6 0 0
"129" 0.6 0 0
"130" 0.6 0 0
"131" 0.6 0 0
"132" 0.6 1 2
"133" 0.6 3 6
"134" 0.6 0 0
"135" 0.6 8 16
"136" 0.6 7 14
"137" 0.6 2 4
"138" 0.6 1 2
"139" 0.6 0 0
"140" 0.6 5 10
"141" 0.7 7 14
"142" 0.7 0 0
"143" 0.7 8 16
"144" 0.7 0 0
"145" 0.7 0 0
"146" 0.7 2 4
"147" 0.7 1 2
"148" 0.7 4 8
"149" 0.7 0 0
"150" 0.7 0 0
"151" 0.7 0 0
"152" 0.7 0 0
"153" 0.7 6 12
"154" 0.7 0 0
"155" 0.7 0 0
"156" 0.7 6 12
"157" 0.7 0 0
"158" 0.7 5 10
"159" 0.7 0 0
"160" 0.7 2 4
"161" 0.8 0 0
"162" 0.8 3 6
"163" 0.8 1 2
"164" 0.8 0 0
"165" 0.8 0 0
"166" 0.8 1 2
"167" 0.8 1 2
"168" 0.8 1 2
"169" 0.8 0 0
"170" 0.8 1 2
"171" 0.8 0 0
"172" 0.8 0 0
"173" 0.8 0 0
"174" 0.8 2 4
"175" 0.8 0 0
"176" 0.8 0 0
"177" 0.8 0 0
"178" 0.8 0 0
"179" 0.8 0 0
"180" 0.8 2 4
"181" 0.9 0 0
"182" 0.9 0 0
"183" 0.9 1 2
"184" 0.9 0 0
"185" 0.9 1 2
"186" 0.9 0 0
"187" 0.9 3 6
"188" 0.9 0 0
"189" 0.9 0 0
"190" 0.9 0 0
"191" 0.9 0 0
"192" 0.9 0 0
"193" 0.9 0 0
"194" 0.9 1 2
"195" 0.9 0 0
"196" 0.9 3 6
"197" 0.9 1 2
"198" 0.9 0 0
"199" 0.9 0 0
"200" 0.9 0 0
"201" 1 0 0
"202" 1 0 0
"203" 1 0 0
"204" 1 0 0
"205" 1 0 0
"206" 1 0 0
"207" 1 0 0
"208" 1 0 0
"209" 1 0 0
"210" 1 0 0
"211" 1 0 0
"212" 1 0 0
"213" 1 0 0
"214" 1 0 0
"215" 1 0 0
"216" 1 0 0
"217" 1 0 0
"218" 1 0 0
"219" 1 0 0
"220" 1 0 0
